"Data operacji","Data waluty","Typ transakcji","Kwota","Waluta"
"2022-07-31","2022-07-29","Przelew z karty","-50.00","PLN"
"2022-07-31","2022-07-29","Płatność Kartą","-32.48","PLN",
"2022-07-31","2022-07-29","Płatność Kartą","-34.90","PLN",
"2022-07-31","2022-07-28","Płatność Kartą","-16.18","PLN",
"2022-07-30","2022-07-28","Płatność Kartą","-12.47","PLN",
"2022-07-29","2022-07-27","Płatność Kartą","-6.99","PLN","
"2022-07-29","2022-07-27","Płatność Kartą","-50.00","PLN",
"2022-07-27","2022-07-25","Płatność Kartą","-29.40","PLN",
"2022-07-27","2022-07-24","Płatność Kartą","-58.30","PLN",
"2022-07-26","2022-07-25","Wypłata w bankomacie - kod mobilny","-50.00"
"2022-07-26","2022-07-26","Przelew z rachunku","-50.00","PLN"
"2022-07-26","2022-07-24","Płatność Kartą","-19.79","PLN",
"2022-07-26","2022-07-24","Płatność Kartą","-100.11","PLN"
"2022-07-25","2022-07-25","Przelew z rachunku","-18.00","PLN"
"2022-07-25","2022-07-25","Przelew z rachunku","-7.00","PLN"
"2022-07-25","2022-07-23","Płatność Kartą","-49.20","PLN",
"2022-07-24","2022-07-22","Płatność Kartą","-13.22","PLN",
"2022-07-24","2022-07-22","Płatność Kartą","-100.03","PLN"
"2022-07-24","2022-07-22","Płatność Kartą","-10.99","PLN",
"2022-07-24","2022-07-22","Płatność Kartą","-91.80","PLN",
"2022-07-23","2022-07-23","Przelew na telefon wychodzący zew.","-1000.00",
"2022-07-23","2022-07-23","Przelew na rachunek","+1000.00",
"2022-07-23","2022-07-21","Płatność Kartą","-16.46","PLN","
"2022-07-23","2022-07-20","Płatność Kartą","-28.90","PLN",
"2022-07-22","2022-07-22","Przelew na rachunek","+2222.07",
"2022-07-22","2022-07-22","Przelew na rachunek","+215.84",
"2022-07-22","2022-07-20","Przelew z karty","-50.00","PLN",
"2022-07-22","2022-07-20","Płatność Kartą","-19.00","PLN",
"2022-07-21","2022-07-21","Obciązenie","-15.00","PLN",
"2022-07-21","2022-07-21","Przelew z rachunku","-40.00",
"2022-07-21","2022-07-19","Płatność Kartą","-13.80",
"2022-07-21","2022-07-19","Płatność Kartą","-9.67",
"2022-07-20","2022-07-19","Płatność web - kod mobilny","-10.00",
"2022-07-20","2022-07-20","Przelew na telefon przychodz. zew.","+130.00",
"2022-07-19","2022-07-17","Płatność Kartą","-200.31",
"2022-07-18","2022-07-18","Przelew z rachunku","-643.17",
"2022-07-18","2022-07-16","Płatność Kartą","-21.78","PLN"
"2022-07-17","2022-07-17","Przelew z rachunku","-100.00",
"2022-07-17","2022-07-17","Przelew na telefon przychodz. zew.","+290.00","
"2022-07-17","2022-07-15","Płatność Kartą","-105.97","PLN
"2022-07-15","2022-07-15","Przelew na telefon wychodzący zew.","-257.00","
"2022-07-14","2022-07-13","Płatność web - kod mobilny","-192.90",
"2022-07-12","2022-07-11","Płatność web - kod mobilny","-398.99",
"2022-07-12","2022-07-10","Płatność Kartą","-8.60",
"2022-07-12","2022-07-09","Płatność Kartą","-18.90",
"2022-07-11","2022-07-09","Płatność Kartą","-6.00",
"2022-07-10","2022-07-08","Płatność Kartą","-9.00",
"2022-07-10","2022-07-08","Płatność Kartą","-5.50",
"2022-07-09","2022-07-07","Płatność Kartą","-12.09",
"2022-07-09","2022-07-07","Płatność Kartą","-9.99",
"2022-07-09","2022-06-07","Płatność Kartą","-3.20",
"2022-07-08","2022-07-06","Płatność Kartą","-11.20",
"2022-07-08","2022-07-06","Płatność Kartą","-57.00",
"2022-07-07","2022-07-07","Przelew na telefon wychodzący zew.","-170.00","
"2022-07-07","2022-07-06","Wypłata w bankomacie - kod mobilny","-50.00","P
"2022-07-07","2022-07-05","Płatność Kartą","-41.87",
"2022-07-06","2022-07-06","Przelew na telefon wychodzący zew.","-150.00",
"2022-07-06","2022-07-04","Przelew z karty","-600.00","PLN"
"2022-07-05","2022-07-04","Wypłata w bankomacie - kod mobilny","-50.00",
"2022-07-05","2022-07-03","Płatność Kartą","-11.69","PLN",
"2022-07-05","2022-07-03","Płatność Kartą","-101.19","PLN",
"2022-07-04","2022-07-01","Wypłata w bankomacie - kod mobilny","-400.00",
"2022-07-04","2022-07-02","Płatność Kartą","-62.07","PLN",
"2022-07-04","2022-07-02","Płatność Kartą","-50.00","PLN"
"2022-07-03","2022-07-01","Płatność Kartą","-7.40","PLN",
"2022-07-03","2022-06-30","Płatność Kartą","-63.55","PLN",
"2022-07-02","2022-06-30","Płatność Kartą","-200.01","PLN",
"2022-07-02","2022-06-30","Płatność Kartą","-16.90","PLN",
"2022-07-02","2022-06-30","Płatność Kartą","-9.98","PLN",
"2022-07-02","2022-06-30","Płatność Kartą","-12.00","PLN",
"2022-07-01","2022-07-01","Przelew na telefon przychodz. zew.","+400.00",
"2022-07-01","2022-06-29","Przelew z karty","-50.00","PLN"
"2022-07-01","2022-06-29","Płatność Kartą","-10.20","PLN"
